Title,Release_Year,Duration,Collection,Genre,Director,Rating,Votes
Troy,2004,163,133.38,"Drama, History",Wolfgang Petersen,7.3,"529,089"
The Lord of the Rings: The Two Towers,2002,179,342.55,"Action, Adventure, Drama",Peter Jackson,8.8,"1,626,445"
The Matrix,1999,136,171.48,"Action, Sci-Fi",Lana Wachowski,8.7,"1,881,022"
Terminator 2: Judgment Day,1991,137,204.84,"Action, Sci-Fi",James Cameron,8.6,"1,081,309"
Miss Congeniality,2000,109,106.81,"Action, Comedy, Crime",Donald Petrie,6.3,"208,144"
Harry Potter and the Goblet of Fire,2005,157,290.01,"Adventure, Family, Fantasy",Mike Newell,7.7,"615,709"
From Dusk Till Dawn,1996,108,25.75,"Action, Crime, Horror",Robert Rodriguez,7.2,"311,401"
Saving Private Ryan,1998,169,216.54,"Drama, War",Steven Spielberg,8.6,"1,365,965"
Scream,1996,111,103.05,"Horror, Mystery",Wes Craven,7.4,"336,112"
A Clockwork Orange,1971,136,6.21,"Crime, Sci-Fi",Stanley Kubrick,8.3,"818,589"
The Mummy,1999,124,155.25,"Action, Adventure, Fantasy",Stephen Sommers,7.1,"424,279"
Catch Me If You Can,2002,141,164.62,"Biography, Crime, Drama",Steven Spielberg,8.1,"957,806"
The Terminator,1984,107,38.4,"Action, Sci-Fi",James Cameron,8.1,"852,802"
Zodiac,2007,157,33.08,"Crime, Drama, Mystery",David Fincher,7.7,"532,309"
Independence Day,1996,145,306.17,"Action, Adventure, Sci-Fi",Roland Emmerich,7,"571,201"
American History X,1998,119,6.72,"Crime, Drama",Tony Kaye,8.5,"1,107,399"
Men in Black II,2002,88,190.42,"Action, Adventure, Comedy",Barry Sonnenfeld,6.1,"371,702"
8 Mile,2002,110,116.72,"Drama, Music",Curtis Hanson,7.1,"285,239"
Dodgeball: A True Underdog Story,2004,92,114.33,"Comedy, Sport",Rawson Marshall Thurber,6.7,"248,020"
The Devil Wears Prada,2006,109,124.74,"Comedy, Drama",David Frankel,6.9,"413,263"
Spider-Man 3,2007,139,336.53,"Action, Adventure, Sci-Fi",Sam Raimi,6.2,"582,118"
Good Will Hunting,1997,126,138.43,"Drama, Romance",Gus Van Sant,8.3,"950,316"
Toy Story,1995,81,191.8,"Animation, Adventure, Comedy",John Lasseter,8.3,"978,400"
Kick-Ass,2010,117,48.07,"Action, Comedy, Crime",Matthew Vaughn,7.6,"557,983"
Love Actually,2003,135,59.7,"Comedy, Drama, Romance",Richard Curtis,7.6,"477,191"
Black Swan,2010,108,106.95,"Drama, Thriller",Darren Aronofsky,8,"755,518"
The Lion King,1994,88,422.78,"Animation, Adventure, Drama",Roger Allers,8.5,"1,039,442"
Snatch,2000,104,30.33,"Comedy, Crime",Guy Ritchie,8.3,"845,059"
Scary Movie,2000,88,157.02,Comedy,Keenen Ivory Wayans,6.2,"258,462"
Harry Potter and the Prisoner of Azkaban,2004,142,249.36,"Adventure, Family, Fantasy",Alfonso Cuarón,7.9,"622,730"
Rocky,1976,120,117.24,"Drama, Sport",John G. Avildsen,8.1,"567,514"
The Big Lebowski,1998,117,17.5,"Comedy, Crime",Joel Coen,8.1,"798,677"
Tropic Thunder,2008,107,110.52,"Action, Comedy, War",Ben Stiller,7,"411,317"
Spider-Man 2,2004,127,373.59,"Action, Adventure, Sci-Fi",Sam Raimi,7.4,"642,813"
Kill Bill: Vol. 1,2003,111,70.1,"Action, Crime, Drama",Quentin Tarantino,8.2,"1,097,684"
Reservoir Dogs,1992,99,2.83,"Crime, Drama, Thriller",Quentin Tarantino,8.3,"1,002,163"
300,2006,117,210.61,"Action, Drama",Zack Snyder,7.6,"811,715"
Donnie Darko,2001,113,1.48,"Drama, Mystery, Sci-Fi",Richard Kelly,8,"791,489"
Harry Potter and the Chamber of Secrets,2002,161,261.99,"Adventure, Family, Fantasy",Chris Columbus,7.4,"623,507"
Memento,2000,113,25.54,"Mystery, Thriller",Christopher Nolan,8.4,"1,219,995"
The Perfect Storm,2000,130,182.62,"Action, Adventure, Drama",Wolfgang Petersen,6.4,"167,093"
Batman,1989,126,251.19,"Action, Adventure",Tim Burton,7.5,"374,356"
Batman Begins,2005,140,206.85,"Action, Crime, Drama",Christopher Nolan,8.2,"1,445,640"
Training Day,2001,122,76.63,"Action, Crime, Drama",Antoine Fuqua,7.7,"430,712"
Star Wars: Episode I - The Phantom Menace,1999,136,474.54,"Action, Adventure, Fantasy",George Lucas,6.5,"795,264"
E.T. the Extra-Terrestrial,1982,115,435.11,"Adventure, Family, Sci-Fi",Steven Spielberg,7.9,"403,655"
The Other Guys,2010,107,119.22,"Action, Comedy, Crime",Adam McKay,6.6,"266,534"
2001: A Space Odyssey,1968,149,56.95,"Adventure, Sci-Fi",Stanley Kubrick,8.3,"659,394"
The Thing,1982,109,13.78,"Horror, Mystery, Sci-Fi",John Carpenter,8.2,"416,518"
Total Recall,1990,113,119.39,"Action, Adventure, Sci-Fi",Paul Verhoeven,7.5,"327,825"
Moulin Rouge!,2001,127,57.39,"Drama, Musical, Romance",Baz Luhrmann,7.6,"283,564"
Armageddon,1998,151,201.57,"Action, Adventure, Sci-Fi",Michael Bay,6.7,"423,003"
The Hangover,2009,100,277.32,Comedy,Todd Phillips,7.7,"775,647"
Hot Fuzz,2007,121,23.64,"Action, Comedy, Mystery",Edgar Wright,7.8,"500,908"
White Chicks,2004,109,70.83,"Comedy, Crime",Keenen Ivory Wayans,5.7,"144,501"
Iron Man 2,2010,124,312.43,"Action, Adventure, Sci-Fi",Jon Favreau,6.9,"804,880"
Collateral,2004,120,101.01,"Action, Crime, Drama",Michael Mann,7.5,"397,035"
The Godfather Part III,1990,162,66.67,"Crime, Drama",Francis Ford Coppola,7.6,"392,544"
The Pianist,2002,150,32.57,"Biography, Drama, Music",Roman Polanski,8.5,"816,433"
Casino Royale,2006,144,167.45,"Action, Adventure, Thriller",Martin Campbell,8,"651,103"
The Sixth Sense,1999,107,293.51,"Drama, Mystery, Thriller",M. Night Shyamalan,8.2,"979,352"
The Exorcist,1973,122,232.91,Horror,William Friedkin,8.1,"399,022"
Harry Potter and the Deathly Hallows: Part 1,2010,146,295.98,"Adventure, Family, Fantasy",David Yates,7.7,"539,071"
Apollo 13,1995,140,173.84,"Adventure, Drama, History",Ron Howard,7.7,"292,791"
Transformers,2007,144,319.25,"Action, Adventure, Sci-Fi",Michael Bay,7,"632,379"
The Incredible Hulk,2008,112,134.52,"Action, Adventure, Sci-Fi",Louis Leterrier,6.6,"484,868"
Harry Potter and the Order of the Phoenix,2007,138,292,"Action, Adventure, Family",David Yates,7.5,"571,761"
Watchmen,2009,162,107.51,"Action, Drama, Mystery",Zack Snyder,7.6,"546,876"
Not Another Teen Movie,2001,89,38.25,Comedy,Joel Gallen,5.7,"105,783"
Mission: Impossible III,2006,126,134.03,"Action, Adventure, Thriller",J.J. Abrams,6.9,"354,246"
The Parent Trap,1998,128,66.31,"Adventure, Comedy, Drama",Nancy Meyers,6.6,"136,410"
The Social Network,2010,120,96.96,"Biography, Drama",David Fincher,7.8,"692,367"
X-Men,2000,104,157.3,"Action, Adventure, Sci-Fi",Bryan Singer,7.3,"610,243"
Superbad,2007,113,121.46,Comedy,Greg Mottola,7.6,"571,759"
Mission: Impossible II,2000,123,215.41,"Action, Adventure, Thriller",John Woo,6.1,"339,866"
Ocean's Eleven,2001,116,183.42,"Crime, Thriller",Steven Soderbergh,7.7,"566,069"
Die Hard,1988,132,83.01,"Action, Thriller",John McTiernan,8.2,"865,435"
Braveheart,1995,178,75.6,"Biography, Drama, History",Mel Gibson,8.4,"1,026,070"
Shooter,2007,124,47,"Action, Drama, Thriller",Antoine Fuqua,7.2,"332,102"
Sin City,2005,124,74.1,"Crime, Thriller",Frank Miller,8,"764,576"
The Return of the Living Dead,1985,91,14.24,"Comedy, Horror, Sci-Fi",Dan O'Bannon,7.3,"61,041"
The Curious Case of Benjamin Button,2008,166,127.51,"Drama, Fantasy, Romance",David Fincher,7.8,"642,737"
Legally Blonde,2001,96,96.52,"Comedy, Romance",Robert Luketic,6.4,"214,981"
Grown Ups,2010,102,162,Comedy,Dennis Dugan,5.9,"250,766"
Monster,2003,109,34.47,"Biography, Crime, Drama",Patty Jenkins,7.3,"150,998"
Charlie and the Chocolate Factory,2005,115,206.46,"Adventure, Comedy, Family",Tim Burton,6.7,"474,230"
Star Wars: Episode VI - Return of the Jedi,1983,131,309.13,"Action, Adventure, Fantasy",Richard Marquand,8.3,"1,037,583"
Home Alone,1990,103,285.76,"Comedy, Family",Chris Columbus,7.7,"558,566"
The Empire Strikes Back,1980,124,290.48,"Action, Adventure, Fantasy",Irvin Kershner,8.7,"1,270,479"
Into the Wild,2007,148,18.35,"Adventure, Biography, Drama",Sean Penn,8.1,"617,706"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,143,291.71,"Adventure, Family, Fantasy",Andrew Adamson,6.9,"394,480"
Pearl Harbor,2001,183,198.54,"Action, Drama, History",Michael Bay,6.2,"330,945"
Harry Potter and the Half-Blood Prince,2009,153,301.96,"Action, Adventure, Family",David Yates,7.6,"535,575"
The Devil's Advocate,1997,144,60.98,"Drama, Mystery, Thriller",Taylor Hackford,7.5,"367,550"
The Mist,2007,126,25.59,"Horror, Sci-Fi, Thriller",Frank Darabont,7.1,"307,010"
Death Proof,2007,127,"289,269","Action, Thriller",Quentin Tarantino,7,"289,269"
Scott Pilgrim vs. the World,2010,112,31.49,"Action, Comedy, Fantasy",Edgar Wright,7.5,"421,041"
Doom,2005,105,28.21,"Action, Horror, Sci-Fi",Andrzej Bartkowiak,5.2,"113,556"
Halloween,1978,91,47,"Horror, Thriller",John Carpenter,7.7,"269,690"
The Last of the Mohicans,1992,112,75.51,"Action, Adventure, Drama",Michael Mann,7.7,"168,405"
Black Hawk Down,2001,144,108.64,"Action, Drama, History",Ridley Scott,7.7,"393,143"
Wedding Crashers,2005,119,209.22,"Comedy, Romance",David Dobkin,7,"353,808"
Star Wars: Episode III - Revenge of the Sith,2005,140,380.26,"Action, Adventure, Fantasy",George Lucas,7.6,"779,864"
28 Days Later...,2002,113,45.06,"Drama, Horror, Sci-Fi",Danny Boyle,7.5,"409,486"
Batman & Robin,1997,125,107.33,"Action, Sci-Fi",Joel Schumacher,3.7,"252,525"
RoboCop,1987,102,53.42,"Action, Crime, Sci-Fi",Paul Verhoeven,7.6,"256,221"
Alien³,1992,114,55.47,"Action, Horror, Sci-Fi",David Fincher,6.4,"297,945"
Shaun of the Dead,2004,99,13.54,"Comedy, Horror",Edgar Wright,7.9,"552,250"
Mystic River,2003,138,90.14,"Crime, Drama, Mystery",Clint Eastwood,7.9,"452,990"
Blade,1998,120,70.09,"Action, Horror, Sci-Fi",Stephen Norrington,7.1,"271,007"
Shrek,2001,90,267.67,"Animation, Adventure, Comedy",Andrew Adamson,7.9,"667,216"
V for Vendetta,2006,132,70.51,"Action, Drama, Sci-Fi",James McTeigue,8.2,"1,108,679"
Pirates of the Caribbean: Dead Man's Chest,2006,151,423.32,"Action, Adventure, Fantasy",Gore Verbinski,7.3,"710,192"
Finding Nemo,2003,100,380.84,"Animation, Adventure, Comedy",Andrew Stanton,8.2,"1,029,644"
Jumanji,1995,104,100.48,"Adventure, Comedy, Family",Joe Johnston,7,"341,279"
Van Helsing,2004,131,120.18,"Action, Adventure, Fantasy",Stephen Sommers,6,"264,225"
The Untouchables,1987,119,76.27,"Crime, Drama, Thriller",Brian De Palma,7.9,"307,081"
Final Destination,2000,98,53.33,"Horror, Thriller",James Wong,6.7,"252,312"
The Mummy Returns,2001,130,202.02,"Action, Adventure, Fantasy",Stephen Sommers,6.4,"322,150"
Police Academy,1984,96,81.2,Comedy,Hugh Wilson,6.7,"125,668"
Martyrs,2008,99,"93,510",Horror,Pascal Laugier,7,"93,510"
The Butterfly Effect,2004,113,57.94,"Drama, Sci-Fi, Thriller",Eric Bress,7.6,"485,174"
Dumb and Dumber,1994,107,127.18,Comedy,Peter Farrelly,7.3,"381,777"
2012,2009,158,166.11,"Action, Adventure, Sci-Fi",Roland Emmerich,5.8,"375,462"
Space Jam,1996,88,90.46,"Animation, Adventure, Comedy",Joe Pytka,6.5,"196,647"
Bridget Jones's Diary,2001,97,71.54,"Comedy, Drama, Romance",Sharon Maguire,6.7,"242,539"
Saw,2004,103,56,"Horror, Mystery, Thriller",James Wan,7.6,"415,610"
Kingdom of Heaven,2005,144,47.4,"Action, Adventure, Drama",Ridley Scott,7.2,"286,566"
Superman,1978,143,134.22,"Action, Adventure, Sci-Fi",Richard Donner,7.4,"173,943"
Alien Resurrection,1997,109,47.75,"Action, Horror, Sci-Fi",Jean-Pierre Jeunet,6.2,"246,055"
Vanilla Sky,2001,136,100.61,"Fantasy, Mystery, Romance",Cameron Crowe,6.9,"264,686"
The Wedding Singer,1998,97,80.25,"Comedy, Music, Romance",Frank Coraci,6.9,"149,915"
Batman Returns,1992,126,162.83,"Action, Crime, Fantasy",Tim Burton,7.1,"302,826"
Gone with the Wind,1939,238,198.68,"Drama, Romance, War",Victor Fleming,8.2,"313,100"
Jackie Brown,1997,154,39.67,"Crime, Drama, Thriller",Quentin Tarantino,7.5,"345,893"
Resident Evil,2002,100,40.12,"Action, Horror, Sci-Fi",Paul W.S. Anderson,6.6,"269,648"
Sherlock Holmes,2009,128,209.03,"Action, Adventure, Mystery",Guy Ritchie,7.6,"627,341"
Edward Scissorhands,1990,105,56.36,"Drama, Fantasy, Romance",Tim Burton,7.9,"484,064"
Natural Born Killers,1994,119,50.28,"Action, Crime, Drama",Oliver Stone,7.2,"233,685"
The Italian Job,2003,111,106.13,"Action, Crime, Thriller",F. Gary Gray,7,"365,935"
The 40 Year Old Virgin,2005,116,109.45,"Comedy, Romance",Judd Apatow,7.1,"432,436"
The Mask,1994,101,119.94,"Action, Comedy, Crime",Chuck Russell,6.9,"381,506"
The Bourne Identity,2002,119,121.66,"Action, Mystery, Thriller",Doug Liman,7.9,"542,863"
Le fabuleux destin d'Amélie Poulain,2001,122,33.23,"Comedy, Romance",Jean-Pierre Jeunet,8.3,"749,409"
Die Another Day,2002,133,160.94,"Action, Adventure, Thriller",Lee Tamahori,6.1,"218,812"
John Q,2002,116,71.76,"Crime, Drama, Thriller",Nick Cassavetes,7,"133,738"
Scary Movie 2,2001,83,71.31,"Comedy, Horror",Keenen Ivory Wayans,5.3,"161,147"
Sweeney Todd: The Demon Barber of Fleet Street,2007,116,52.9,"Drama, Horror, Musical",Tim Burton,7.3,"366,413"
Star Wars: Episode II - Attack of the Clones,2002,142,310.68,"Action, Adventure, Fantasy",George Lucas,6.6,"701,487"
The Evil Dead,1981,85,2.4,Horror,Sam Raimi,7.4,"207,466"
Signs,2002,106,227.97,"Drama, Mystery, Sci-Fi",M. Night Shyamalan,6.8,"360,634"
Scream 2,1997,120,101.36,"Horror, Mystery",Wes Craven,6.3,"181,438"
The Karate Kid Part III,1989,112,38.96,"Action, Drama, Family",John G. Avildsen,5.2,"62,481"
Wanted,2008,110,134.51,"Action, Crime, Thriller",Timur Bekmambetov,6.7,"386,705"
Beverly Hills Cop,1984,105,234.76,"Action, Comedy, Crime",Martin Brest,7.3,"182,467"
X-Men Origins: Wolverine,2009,107,179.88,"Action, Sci-Fi",Gavin Hood,6.5,"500,862"
Notting Hill,1999,124,116.09,"Comedy, Drama, Romance",Roger Michell,7.2,"306,914"
The Lost World: Jurassic Park,1997,129,229.09,"Action, Adventure, Sci-Fi",Steven Spielberg,6.5,"414,975"
The Descent,2005,99,26.02,"Adventure, Horror, Thriller",Neil Marshall,7.2,"221,722"
The Last Samurai,2003,154,111.11,"Action, Drama",Edward Zwick,7.8,"436,249"
Twelve Monkeys,1995,129,57.14,"Mystery, Sci-Fi, Thriller",Terry Gilliam,8,"613,376"
Austin Powers: International Man of Mystery,1997,94,53.88,"Adventure, Comedy",Jay Roach,7,"238,740"
Hulk,2003,138,132.18,"Action, Sci-Fi",Ang Lee,5.6,"266,840"
Percy Jackson & the Olympians: The Lightning Thief,2010,118,88.76,"Adventure, Family, Fantasy",Chris Columbus,5.8,"188,329"
Speed,1994,116,121.25,"Action, Adventure, Thriller",Jan de Bont,7.3,"360,666"
Gangs of New York,2002,167,77.81,"Crime, Drama",Martin Scorsese,7.5,"437,990"
Friday the 13th,1980,95,39.75,"Horror, Mystery, Thriller",Sean S. Cunningham,6.4,"137,991"
Mr. & Mrs. Smith,2005,120,186.34,"Action, Comedy, Crime",Doug Liman,6.5,"490,086"
Gone in Sixty Seconds,2000,118,101.65,"Action, Crime, Thriller",Dominic Sena,6.5,"277,467"
The Terminal,2004,128,77.87,"Comedy, Drama, Romance",Steven Spielberg,7.4,"453,509"
Nanny McPhee,2005,97,47.14,"Comedy, Family, Fantasy",Kirk Jones,6.6,"76,526"
The Ring,2002,115,129.13,"Horror, Mystery",Gore Verbinski,7.1,"345,967"
Batman Forever,1995,121,184.03,"Action, Adventure",Joel Schumacher,5.4,"252,191"
Conan the Barbarian,1982,129,39.57,"Action, Adventure, Fantasy",John Milius,6.9,"148,783"
The Texas Chain Saw Massacre,1974,83,30.86,Horror,Tobe Hooper,7.4,"159,525"
The Others,2001,101,96.52,"Horror, Mystery, Thriller",Alejandro Amenábar,7.6,"363,248"
Alice in Wonderland,2010,108,334.19,"Adventure, Family, Fantasy",Tim Burton,6.4,"411,355"
Pirates of the Caribbean: At World's End,2007,169,309.42,"Action, Adventure, Fantasy",Gore Verbinski,7.1,"644,298"
Juno,2007,96,143.5,"Comedy, Drama",Jason Reitman,7.5,"519,449"
Never Say Never Again,1983,134,55.5,"Action, Adventure, Thriller",Irvin Kershner,6.1,"68,070"
Mrs. Doubtfire,1993,125,219.2,"Comedy, Drama",Chris Columbus,7.1,"266,385"
X2,2003,134,214.95,"Action, Sci-Fi, Thriller",Bryan Singer,7.4,"546,006"
Big Fish,2003,125,66.26,"Adventure, Drama, Fantasy",Tim Burton,8,"438,782"
Under Siege,1992,103,83.36,"Action, Thriller",Andrew Davis,6.5,"86,903"
The Abyss,1989,140,54.46,"Adventure, Drama, Mystery",James Cameron,7.5,"176,801"
Man on Fire,2004,146,77.91,"Action, Crime, Drama",Tony Scott,7.7,"360,272"
Fantastic Four,2005,106,154.7,"Action, Adventure, Fantasy",Tim Story,5.7,"328,655"
King Kong,2005,187,218.08,"Action, Adventure, Drama",Peter Jackson,7.2,"420,213"
There's Something About Mary,1998,119,176.48,"Comedy, Romance",Bobby Farrelly,7.1,"309,961"
Jeepers Creepers,2001,90,37.9,"Horror, Mystery",Victor Salva,6.2,"126,430"
Daredevil,2003,103,102.54,"Action, Crime",Mark Steven Johnson,5.3,"219,555"
Mad Max,1979,88,8.75,"Action, Adventure, Sci-Fi",George Miller,6.8,"206,222"
Kill Bill: Vol. 2,2004,137,66.21,"Action, Crime, Thriller",Quentin Tarantino,8,"745,757"
Toy Story 2,1999,92,245.85,"Animation, Adventure, Comedy",John Lasseter,7.9,"574,002"
Zombieland,2009,88,75.59,"Action, Comedy, Horror",Ruben Fleischer,7.6,"569,379"
The Punisher,2004,124,33.68,"Action, Crime, Drama",Jonathan Hensleigh,6.4,"160,130"
I Spit on Your Grave,2010,108,0.09,"Horror, Thriller",Steven R. Monroe,6.2,"83,992"
Spy Kids,2001,88,112.72,"Action, Adventure, Comedy",Robert Rodriguez,5.6,"117,213"
Deep Blue Sea,1999,105,73.65,"Action, Adventure, Sci-Fi",Renny Harlin,5.9,"133,696"
District 9,2009,112,115.65,"Action, Sci-Fi, Thriller",Neill Blomkamp,7.9,"675,918"
Twister,1996,113,241.72,"Action, Adventure, Thriller",Jan de Bont,6.4,"195,240"
War of the Worlds,2005,116,234.28,"Action, Adventure, Sci-Fi",Steven Spielberg,6.5,"445,805"
Charlie's Angels,2000,98,125.31,"Action, Adventure, Comedy",McG,5.6,"186,843"
Beauty and the Beast,1991,84,218.97,"Animation, Family, Fantasy",Gary Trousdale,8,"450,286"
The Patriot,2000,165,113.33,"Action, Drama, History",Roland Emmerich,7.2,"273,408"
Der Untergang,2004,156,5.51,"Biography, Drama, History",Oliver Hirschbiegel,8.2,"353,098"
Knocked Up,2007,129,148.73,"Comedy, Romance",Judd Apatow,6.9,"368,340"
Ghostbusters II,1989,108,112.49,"Action, Comedy, Fantasy",Ivan Reitman,6.6,"205,583"
Robin Hood: Prince of Thieves,1991,143,165.5,"Action, Adventure, Drama",Kevin Reynolds,6.9,"192,935"
The Addams Family,1991,99,113.5,"Comedy, Fantasy",Barry Sonnenfeld,6.9,"152,838"
Public Enemies,2009,140,97.1,"Action, Biography, Crime",Michael Mann,7,"301,450"
Shrek 2,2004,93,436.47,"Animation, Adventure, Comedy",Andrew Adamson,7.3,"457,406"
Quantum of Solace,2008,106,168.37,"Action, Adventure, Thriller",Marc Forster,6.6,"445,659"
Planet of the Apes,2001,119,180.01,"Action, Adventure, Sci-Fi",Tim Burton,5.7,"219,532"
Austin Powers: The Spy Who Shagged Me,1999,95,206.04,"Action, Adventure, Comedy",Jay Roach,6.6,"232,228"
Road Trip,2000,93,68.54,Comedy,Todd Phillips,6.5,"169,141"
National Treasure,2004,131,173.01,"Action, Adventure, Mystery",Jon Turteltaub,6.9,"329,980"
Remember the Titans,2000,113,115.65,"Biography, Drama, Sport",Boaz Yakin,7.8,"214,077"
The Passion of the Christ,2004,127,370.78,Drama,Mel Gibson,7.2,"231,105"
Blow,2001,124,52.99,"Biography, Crime, Drama",Ted Demme,7.5,"259,349"
King Arthur,2004,126,51.88,"Action, Adventure, Drama",Antoine Fuqua,6.3,"167,712"
The Fast and the Furious: Tokyo Drift,2006,104,62.51,"Action, Adventure, Crime",Justin Lin,6,"269,439"
Gremlins,1984,106,148.17,"Comedy, Fantasy, Horror",Joe Dante,7.3,"221,184"
The Day After Tomorrow,2004,124,186.74,"Action, Adventure, Sci-Fi",Roland Emmerich,6.4,"444,838"
The Chronicles of Riddick,2004,119,57.76,"Action, Adventure, Sci-Fi",David Twohy,6.6,"227,480"
Cloverfield,2008,85,80.05,"Action, Horror, Sci-Fi",Matt Reeves,7,"396,234"
A View to a Kill,1985,131,50.33,"Action, Adventure, Thriller",John Glen,6.3,"97,689"
Night at the Museum,2006,108,250.86,"Adventure, Comedy, Family",Shawn Levy,6.4,"344,095"
Underworld,2003,121,51.97,"Action, Fantasy, Thriller",Len Wiseman,7,"268,781"
